University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Imperial College London,United Kingdom,London,University,98.5,"Imperial College London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,26000,https://www.imperial.ac.uk/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),2,2,0
The University of Edinburgh,United Kingdom,Edinburgh,University,83.3,"The University of Edinburgh is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24000,https://www.ed.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Health & Welfare",27,27,0
The University of Manchester,United Kingdom,Manchester,University,82.0,"The University of Manchester is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,21000,http://www.manchester.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Engineering, Manufacturing, Construction, Health & Welfare",34,34,0
King's College London,United Kingdom,London,University,80.2,"King's College London is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24300,http://www.kcl.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Natural Sciences, Mathematics, Statistics, ICT, Health & Welfare",40,40,0
Ludwig-Maximilians-Universität München,Germany,Munich,Universität,71.6,"Ludwig-Maximilians-Universität München is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,300,http://www.uni-muenchen.de/index.html,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),59,59,6
The University of Warwick,United Kingdom,Coventry,University,68.2,"The University of Warwick is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,21400,https://warwick.ac.uk/,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Health & Welfare",69,69,0
University of Birmingham,United Kingdom,Birmingham,University,64.1,"University of Birmingham is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,13700,https://www.birmingham.ac.uk/index.aspx,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",80,80,0
Ruprecht-Karls-Universität Heidelberg,Germany,Heidelberg,Universität,63.7,"Ruprecht-Karls-Universität Heidelberg is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",German / English,Yes,1400,http://www.uni-heidelberg.de/,"Business, Administration, Law",84,84,6
The University of Sheffield,United Kingdom,Sheffield,University,59.1,"The University of Sheffield is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,19100,https://www.sheffield.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",105,105,0
University of Nottingham,United Kingdom,Nottingham,University,58.5,"University of Nottingham is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,18300,http://www.nottingham.ac.uk/,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare",108,108,0
